time,plate_name,well_position,temperature_c,value,row_label,column_label,wavelength
,p1: Em580,D4,22.8,3175376.0,D,4,430
,p1: Em580,D5,22.8,1454761.0,D,5,430
,p1: Em580,D6,22.8,1331188.0,D,6,430
,p1: Em580,D7,22.8,1240689.0,D,7,430
,p1: Em580,B1,22.8,162612816.0,B,1,440
,p1: Em580,B2,22.8,1125015.0,B,2,440
,p1: Em580,B3,22.8,11500832.0,B,3,440
,p1: Em580,B4,22.8,1001984.0,B,4,440
,p1: Em580,B5,22.8,2479.0,B,5,440
,p1: Em580,D1,22.8,1236892.0,D,1,440
,p1: Em580,D2,22.8,1257467.0,D,2,440
,p1: Em580,D3,22.8,1556617.0,D,3,440
,p1: Em580,D4,22.8,2326829.0,D,4,440
,p1: Em580,D5,22.8,1423476.0,D,5,440
,p1: Em580,D6,22.8,1252369.0,D,6,440
,p1: Em580,D7,22.8,1163189.0,D,7,440
,p1: Em580,B1,22.8,205332304.0,B,1,450
,p1: Em580,B2,22.8,1000977.0,B,2,450
,p1: Em580,B3,22.8,18964284.0,B,3,450
,p1: Em580,B4,22.8,834788.0,B,4,450
,p1: Em580,B5,22.8,2648.0,B,5,450
,p1: Em580,D1,22.8,1123607.0,D,1,450
,p1: Em580,D2,22.8,1134712.0,D,2,450
,p1: Em580,D3,22.8,1439985.0,D,3,450
,p1: Em580,D4,22.8,1929240.0,D,4,450
,p1: Em580,D5,22.8,1336391.0,D,5,450
,p1: Em580,D6,22.8,1165808.0,D,6,450
,p1: Em580,D7,22.8,1071590.0,D,7,450
,p1: Em580,B1,22.8,244107536.0,B,1,460
,p1: Em580,B2,22.8,873753.0,B,2,460
,p1: Em580,B3,22.8,31249632.0,B,3,460
,p1: Em580,B4,22.8,677697.0,B,4,460
,p1: Em580,B5,22.8,2294.0,B,5,460
,p1: Em580,D1,22.8,995079.0,D,1,460
,p1: Em580,D2,22.8,1019367.0,D,2,460
,p1: Em580,D3,22.8,1301732.0,D,3,460
,p1: Em580,D4,22.8,1797477.0,D,4,460
,p1: Em580,D5,22.8,1216774.0,D,5,460
,p1: Em580,D6,22.8,1062903.0,D,6,460
,p1: Em580,D7,22.8,944852.0,D,7,460
,p1: Em580,B1,22.8,269883072.0,B,1,470
,p1: Em580,B2,22.8,724437.0,B,2,470
,p1: Em580,B3,22.8,51675412.0,B,3,470
,p1: Em580,B4,22.8,552669.0,B,4,470
,p1: Em580,B5,22.8,2065.0,B,5,470
,p1: Em580,D1,22.8,864224.0,D,1,470
,p1: Em580,D2,22.8,880075.0,D,2,470
,p1: Em580,D3,22.8,1136392.0,D,3,470
,p1: Em580,D4,22.8,1832525.0,D,4,470
,p1: Em580,D5,22.8,1064140.0,D,5,470
,p1: Em580,D6,22.8,934322.0,D,6,470
