target,lam_p,lam_b,lam_e,trial,round,trials_avail,n_mut,d_ex,d_em,peak_err,nn_dist,logit,is_id,is_bright,scaf_err
mOrange,10.0,40.0,15.0,7,1,12,5,58.30000000000001,53.80000000000001,56.06,17.705263137817383,-4.969,True,False,57.5
mOrange,10.0,40.0,15.0,7,2,12,6,59.60000000000002,32.799999999999955,46.21,27.963397979736328,1.2561,True,True,57.5
mOrange,10.0,40.0,15.0,7,3,12,6,55.80000000000001,27.399999999999977,41.56,31.70707130432129,0.8497,False,True,57.5
mOrange,10.0,40.0,15.0,8,1,12,7,66.60000000000002,59.80000000000001,63.22,29.516620635986328,-1.3844,True,False,57.5
mOrange,10.0,40.0,15.0,8,2,12,9,61.19999999999999,53.39999999999998,57.31,29.002199172973633,2.9268,True,True,57.5
mOrange,10.0,40.0,15.0,8,3,12,7,60.0,28.299999999999955,44.14,26.50968360900879,2.4252,True,True,57.5
mOrange,10.0,40.0,15.0,9,1,12,5,65.30000000000001,59.10000000000002,62.22,19.911991119384766,-4.4097,True,False,57.5
mOrange,10.0,40.0,15.0,9,2,12,12,50.30000000000001,47.299999999999955,48.78,31.949234008789062,-1.9873,False,False,57.5
mOrange,10.0,40.0,15.0,9,3,12,7,47.19999999999999,16.5,31.86,27.305278778076172,1.0874,True,True,57.5
mOrange,10.0,40.0,15.0,10,1,12,6,58.30000000000001,53.80000000000001,56.05,26.51226806640625,-4.2256,True,False,57.5
mOrange,10.0,40.0,15.0,10,2,12,9,61.39999999999998,56.39999999999998,58.91,24.75164031982422,-0.2998,True,False,57.5
mOrange,10.0,40.0,15.0,10,3,12,10,61.19999999999999,56.5,58.9,29.117406845092773,-3.0693,True,False,57.5
mOrange,10.0,40.0,15.0,11,1,12,7,65.0,60.30000000000001,62.64,23.468158721923828,-3.0835,True,False,57.5
mOrange,10.0,40.0,15.0,11,2,12,8,62.19999999999999,56.10000000000002,59.12,29.3123779296875,-2.7298,True,False,57.5
mOrange,10.0,40.0,15.0,11,3,12,7,53.69999999999999,42.700000000000045,48.22,24.19430160522461,-0.2867,True,False,57.5
EBFP,10.0,40.0,20.0,0,1,12,8,57.69999999999999,41.19999999999999,49.45,28.927701950073242,-3.8957,True,False,87.5
EBFP,10.0,40.0,20.0,0,2,12,7,40.10000000000002,35.89999999999998,37.96,24.291566848754883,1.6782,True,True,87.5
EBFP,10.0,40.0,20.0,0,3,12,6,43.10000000000002,38.30000000000001,40.72,25.018123626708984,-1.2717,True,False,87.5
EBFP,10.0,40.0,20.0,1,1,12,8,38.60000000000002,29.5,34.05,25.38846206665039,0.806,True,True,87.5
EBFP,10.0,40.0,20.0,1,2,12,7,42.0,32.80000000000001,37.44,23.458330154418945,3.7586,True,True,87.5
EBFP,10.0,40.0,20.0,1,3,12,6,53.80000000000001,39.60000000000002,46.7,24.136917114257812,4.1208,True,True,87.5
EBFP,10.0,40.0,20.0,2,1,12,7,47.30000000000001,37.89999999999998,42.63,22.7095890045166,-2.5938,True,False,87.5
EBFP,10.0,40.0,20.0,2,2,12,7,43.30000000000001,34.19999999999999,38.75,27.332645416259766,1.5926,True,True,87.5
EBFP,10.0,40.0,20.0,2,3,12,7,34.80000000000001,38.80000000000001,36.82,28.5181941986084,0.2852,True,True,87.5
EBFP,10.0,40.0,20.0,3,1,12,7,43.5,39.5,41.46,26.760181427001953,-2.0812,True,False,87.5
EBFP,10.0,40.0,20.0,3,2,12,9,44.39999999999998,37.19999999999999,40.82,27.499582290649414,1.6209,True,True,87.5
EBFP,10.0,40.0,20.0,3,3,12,8,45.69999999999999,33.30000000000001,39.53,25.38787841796875,1.5321,True,True,87.5
EBFP,10.0,40.0,20.0,4,1,12,8,51.69999999999999,41.5,46.61,25.10240936279297,-2.2242,True,False,87.5
EBFP,10.0,40.0,20.0,4,2,12,9,36.69999999999999,37.19999999999999,36.92,32.07621765136719,0.7053,False,True,87.5
EBFP,10.0,40.0,20.0,4,3,12,7,43.69999999999999,32.69999999999999,38.2,21.88573455810547,4.0875,True,True,87.5
EBFP,10.0,40.0,20.0,5,1,12,7,94.80000000000001,56.5,75.66,23.75168228149414,-2.7811,True,False,87.5
